ensembl_gene_id,Stage,Gene
ENSG00000167114,Stage1,SLC27A4
ENSG00000107651,Stage1,SEC23IP
ENSG00000085377,Stage1,PREP
ENSG00000112118,Stage1,MCM3
ENSG00000166938,Stage1,DIS3L
ENSG00000102580,Stage1,DNAJC3
ENSG00000105325,Stage1,FZR1
ENSG00000016864,Stage1,GLT8D1
ENSG00000163221,Stage1,S100A12
ENSG00000067704,Stage1,IARS2
ENSG00000155629,Stage1,PIK3AP1
ENSG00000166523,Stage1,CLEC4E
ENSG00000111859,Stage1,NEDD9
ENSG00000164305,Stage1,CASP3
ENSG00000143799,Stage1,PARP1
ENSG00000143314,Stage1,MRPL24
ENSG00000172432,Stage1,GTPBP2
ENSG00000055130,Stage1,CUL1
